PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
NAS6206-44D,80205,"BOLT,SHEAR",EA,"59,35",Há 3 preços para este item. Preço médio: $7.47.,Preço médio do PubLog é 694.51% mais barato.
NAS1352-08-10P,80205,"SCREW,CAP,SOCKET HEAD",EA,"2,96",Há 6 preços para este item. Preço médio: $0.38.,Preço médio do PubLog é 678.95% mais barato.
NAS517-3-4,80205,"SCREW,MACHINE",EA,"50,99",Há 5 preços para este item. Preço médio: $7.28.,Preço médio do PubLog é 600.41% mais barato.
2076443,10001,"TERMINAL,QUICK DISCONNECT, COLOR RED, INTERLOCKING KNIFE, 16 AWG, LENGTH 0.878 IN, THICK 0.031 IN",EA,"3,08",Há 4 preços para este item. Preço médio: $0.8.,Preço médio do PubLog é 285.0% mais barato.
NAS1104-10D,80205,"BOLT,SHEAR",EA,"6,48",Há 5 preços para este item. Preço médio: $1.0.,Preço médio do PubLog é 548.0% mais barato.
987-6460-003,13499,RT MATING CONNECTOR,EA,"23895,19",Part Number/CFF não encontrado.,Não há preço
752-8773-001,13499,NTN R/T CONNECTING KITS,EA,"20136,4",Part Number/CFF não encontrado.,Não há preço
685-0364-001,13499,"COUPLER,ANTENNA",EA,"1539,84",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
447FS198NF1405-4,6324,"BACKSHELL,ELECTRICAL CONNECTOR",EA,"550,87",Part Number/CFF não encontrado.,Não há preço
447FS198NF1607-4,6324,"BACKSHELL,ELECTRICAL CONNECTOR",EA,"555,37",Part Number/CFF não encontrado.,Não há preço
507-186NF04G,6324,"BACKSHELL,ELECTRICAL CONNECTOR",EA,"3529,79",Part Number/CFF não encontrado.,Não há preço
MS15795-805,80205,"WASHER,FLAT",EA,"9,43",Há 6 preços para este item. Preço médio: $1.64.,Preço médio do PubLog é 475.0% mais barato.
91205023,F0052,FUSE,EA,"1895,19",Part Number/CFF não encontrado.,Não há preço
91407453,F0052,LAMP,EA,"789,66",Part Number/CFF não encontrado.,Não há preço
8038,F0189,TOLE FREIN,EA,"106,25",Part Number/CFF não encontrado.,Não há preço
NAS1669-08L4,80205,"REBITE, CEGO",EA,"7,36",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS35338-41,80205,"WASHER,LOCK",EA,"25,66",Há 5 preços para este item. Preço médio: $3.48.,Preço médio do PubLog é 637.36% mais barato.
608-6381-002,13499,KNOB,EA,"3288,47",Há 3 preços para este item. Preço médio: $387.94.,Preço médio do PubLog é 747.67% mais barato.
36-E22307,F0189,"WASHER,KEY",EA,"197,42",Part Number/CFF não encontrado.,Não há preço
791-0916-002,13499,KNOB,EA,"328,5",Há 3 preços para este item. Preço médio: $40.24.,Preço médio do PubLog é 716.35% mais barato.
17920,F0189,"CORPS CONTACTEUR (FUSE), USED ON PN 18480, 18480-000-01, WHEEL ASSY, MAIN LANDING GEAR",EA,"696,69",Part Number/CFF não encontrado.,Não há preço
15534,F0189,"BOLT,FLUID PASSAGE",EA,"5555,84",Part Number/CFF não encontrado.,Não há preço
15059,F0189,"PIN,COTTER,SOLID",EA,"330,89",Part Number/CFF não encontrado.,Não há preço
32315-124,F0189,"PACKING,PREFORMED",EA,"809,08",Part Number/CFF não encontrado.,Não há preço
15117,F0189,"ROLLER,LINEAR-ROTARY MOTION",EA,"2361,01",Part Number/CFF não encontrado.,Não há preço
15150,F0189,"PIN,QUICK RELEASE",EA,"8794,36",Part Number/CFF não encontrado.,Não há preço
31-2204,74868,"CONNECTOR,PLUG,ELECTRICAL",EA,"205,23",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
NAS513-5,80205,WASHER KEY,EA,"6,79",Há 6 preços para este item. Preço médio: $1.06.,Preço médio do PubLog é 540.57% mais barato.
AS28772-335,2697,ANEL-O,EA,"432,5",Part Number/CFF não encontrado.,Não há preço
13265-1,5167,SUPORTE,EA,101,Part Number/CFF não encontrado.,Não há preço
NAS464P4A17,80205,BOLT,EA,"15,97",Há 5 preços para este item. Preço médio: $2.97.,Preço médio do PubLog é 437.71% mais barato.
NAS464P4A8,80205,"BOLT,SHEAR",EA,"92,39",Há 5 preços para este item. Preço médio: $18.02.,Preço médio do PubLog é 412.71% mais barato.
NAS509-5,80205,"NUT,PLAIN,HEXAGON",EA,"9,41",Há 6 preços para este item. Preço médio: $1.37.,Preço médio do PubLog é 586.86% mais barato.
NAS221-10,80205,"SCREW,MACHINE",EA,"27,09",Há 5 preços para este item. Preço médio: $17.44.,Preço médio do PubLog é 55.33% mais barato.
NAS222-26,80205,"SCREW,MACHINE",EA,"69,37",Há 3 preços para este item. Preço médio: $1095.75.,Preço médio do PubLog é 1479.57% mais caro.
61036478AA00,F0052,SUPPORT INTERRUPTEURS,EA,"96455,6",Part Number/CFF não encontrado.,Não há preço
AN4-7A,80205,BOLT,EA,"1,14",Há 6 preços para este item. Preço médio: $18.93.,Preço médio do PubLog é 1560.53% mais caro.
11581,F0189,"VALVE,FLUID PRESSURE REGULATING,AIRCRAFT",EA,"2553,88",Part Number/CFF não encontrado.,Não há preço
6933-704,5167,"GAGE,PRESSURE,DIAL INDICATING",EA,"8540,49",Part Number/CFF não encontrado.,Não há preço
7116MT-160T,5F573,PACKING ASSEMBLY,EA,"630,23",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
601-5520-001,13499,CIRCUIT CARD ASSEMBLY,EA,"4737,34",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
14542,F0189,PILLOW,EA,"136,61",Part Number/CFF não encontrado.,Não há preço
14553,F0189,NUT,EA,"1441,96",Part Number/CFF não encontrado.,Não há preço
14588,F0189,AXIS,EA,"569,19",Part Number/CFF não encontrado.,Não há preço
14859,F0189,BAGUE,EA,"932,91",Part Number/CFF não encontrado.,Não há preço
16252,F0189,RONDELLE,EA,"1050,54",Part Number/CFF não encontrado.,Não há preço
16348,F0189,SLEEVE,EA,"2532,78",Part Number/CFF não encontrado.,Não há preço
15068A,F0189,BASE CILINDRIC,EA,"3968,24",Part Number/CFF não encontrado.,Não há preço
15069,F0189,"SPACER,LANDING GEAR",EA,"873,82",Part Number/CFF não encontrado.,Não há preço
15072,F0189,SHAFT U/O DAMPER NOSE LANDING GEAR,EA,"860,73",Part Number/CFF não encontrado.,Não há preço
15074A,F0189,"BUSHING SLEEVE,ASSY, U/O PN 14805-000-01 PIVOT ASSY",EA,"2013,64",Part Number/CFF não encontrado.,Não há preço
15101,F0189,"BUSHING, COUPLING SHAFT DIRECTION, U/O NOSE LANDING GEAR",EA,"192,91",Part Number/CFF não encontrado.,Não há preço
15108,F0189,"RING, RETAINING",EA,"386,62",Part Number/CFF não encontrado.,Não há preço
15127,F0189,AXLE ASSEMBLY,EA,"7974,01",Part Number/CFF não encontrado.,Não há preço
15127A,F0189,AXLE ASSEMBLY,EA,"4752,19",Part Number/CFF não encontrado.,Não há preço
15131,F0189,"BEARING,ROLLER,CYLINDRICAL, U/O NOSE LANDING GEAR, PN 15215-000-001 AND 15215A",EA,"105,53",Part Number/CFF não encontrado.,Não há preço
15133,F0189,BUSHING,EA,"3334,82",Part Number/CFF não encontrado.,Não há preço
15145A,F0189,"SHAFT,ASSY",EA,"4392,66",Part Number/CFF não encontrado.,Não há preço
15149,F0189,SHAFT,EA,"913,01",Part Number/CFF não encontrado.,Não há preço
15180,F0189,"LEVER ASSY,LANDING, U/O NOSE LANDING GEAR, PN 15215-000-001 AND 15215A",EA,"9708,97",Part Number/CFF não encontrado.,Não há preço
15185A,F0189,CONNECTING ROD,EA,"15026,72",Part Number/CFF não encontrado.,Não há preço
15189,F0189,BUSHING,EA,"3071,79",Part Number/CFF não encontrado.,Não há preço
15290,F0189,"FLANGE,ASSY",EA,"14029,15",Part Number/CFF não encontrado.,Não há preço
15291,F0189,BUSHING,EA,"1477,45",Part Number/CFF não encontrado.,Não há preço
15297,F0189,BUSHING,EA,"228,25",Part Number/CFF não encontrado.,Não há preço
15300,F0189,LEVER,EA,"6964,04",Part Number/CFF não encontrado.,Não há preço
15339,F0189,SHAFT,EA,"516,07",Part Number/CFF não encontrado.,Não há preço
15505,F0189,TUBE,EA,"4580,04",Part Number/CFF não encontrado.,Não há preço
15659,F0189,RONDELLE,EA,"910,71",Part Number/CFF não encontrado.,Não há preço
15666,F0189,WASHER,EA,"844,12",Part Number/CFF não encontrado.,Não há preço
16069,F0189,WASHER,EA,"2004,16",Part Number/CFF não encontrado.,Não há preço
14467,F0189,SEMI BUSH,EA,"235,65",Part Number/CFF não encontrado.,Não há preço
MS24694S6,80205,"SCREW,MACHINE",EA,"9,26",Há 6 preços para este item. Preço médio: $9.71.,Preço médio do PubLog é 4.86% mais caro.
15195,F0189,LEVER ASSY NOSE LANDING GEAR,EA,"11727,46",Part Number/CFF não encontrado.,Não há preço
216-0029-010,13499,"CABLE FIBER OPTIC, NTN, 22.5 FT",EA,"4200,22",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
LC-150,18598,LC-150 CONTACT CLEANER 300 ML,EA,"168,85",Part Number/CFF não encontrado.,Não há preço
14986,4577,"GUARD,CONTROL BEAM",EA,"5353,52",Part Number/CFF não encontrado.,Não há preço
17402,F0189,"TERMINAL,LOWER",EA,"645,86",Part Number/CFF não encontrado.,Não há preço
17403,F0189,PIPE LEVEL,EA,"578,73",Part Number/CFF não encontrado.,Não há preço
AN4-11A,80205,BOLT,EA,"3,94",Há 6 preços para este item. Preço médio: $18.22.,Preço médio do PubLog é 362.44% mais caro.
AN6-6,80205,"BOLT,MACHINE",EA,"16,03",Há 6 preços para este item. Preço médio: $107.84.,Preço médio do PubLog é 572.74% mais caro.
NAS560-3-3,80205,SCREW,EA,"95,47",Part Number/CFF não encontrado.,Não há preço
11779,F0189,"PIN,STRAIGHT,HEADLESS, U/O PN 18480-000-01, WHEEL,MAIN LANDING GEAR",EA,"458,72",Part Number/CFF não encontrado.,Não há preço
14551,F0189,"RUNNER, U/O PN 14855-001-01/02",EA,"5210,83",Part Number/CFF não encontrado.,Não há preço
11758,F0189,"WASHER,KEY",EA,"256,64",Part Number/CFF não encontrado.,Não há preço
15060,F0189,"BOLT, ASSY, USED ON NOSE LANDING GEAR PN 15215-A/C, AIRCRAFT C-95, BANDEIRANTE",EA,"2092,61",Part Number/CFF não encontrado.,Não há preço
14523,F0189,"BUSHING,SLEEVE",EA,"900,54",Part Number/CFF não encontrado.,Não há preço
NAS1669-08DL3,80205,"RIVET,CEGO",EA,"17,53",Há 5 preços para este item. Preço médio: $2.97.,Preço médio do PubLog é 490.24% mais barato.
NAS561P4-28,80205,"PIN, SPRING",EA,"68,6",Há 5 preços para este item. Preço médio: $10.93.,Preço médio do PubLog é 527.63% mais barato.
MS21083N08,80205,"NUT,SELF-LOCKING,HEXAGON",EA,"49,41",Há 6 preços para este item. Preço médio: $21.48.,Preço médio do PubLog é 130.03% mais barato.
16167-003,385,CONNECTOR BAT,EA,"3962,37",Part Number/CFF não encontrado.,Não há preço
MS20426AD3-6,80205,"RIVET,SOLID",EA,"105,18",Há 6 preços para este item. Preço médio: $29.66.,Preço médio do PubLog é 254.62% mais barato.
MS20426AD5-8,80205,"RIVET,SOLID",EA,"64,59",Há 6 preços para este item. Preço médio: $12.19.,Preço médio do PubLog é 429.86% mais barato.
MS27039-1-15,80205,"SCREW,MACHINE",EA,"9,26",Há 5 preços para este item. Preço médio: $14.52.,Preço médio do PubLog é 56.8% mais caro.
MS27039-1-18,80205,"SCREW,MACHINE",EA,"11,57",Há 6 preços para este item. Preço médio: $11.61.,Preço médio do PubLog é 0.35% mais caro.
15496-45,F0189,"TAPE,LACING AND TYING",EA,"30,28",Part Number/CFF não encontrado.,Não há preço
15496-100,F0189,"TAPE,LACING AND TYING",EA,"189,96",Part Number/CFF não encontrado.,Não há preço
14694,F0189,"WASHER,RECESSED",EA,"622,32",Part Number/CFF não encontrado.,Não há preço
14313,F0189,"COVER,ACCESS, LEFT AND RIGHT, U/O MAIN LAND GEAR, AIRCRAFT BANDEIRANTE",EA,"1527,86",Part Number/CFF não encontrado.,Não há preço
MS9226-04,96906,"WIRE,NONELECTRICAL",EA,"177,2",Há 6 preços para este item. Preço médio: $32.97.,Preço médio do PubLog é 437.46% mais barato.
NAS517-3-13,80205,"SCREW,MACHINE",EA,"56,56",Há 5 preços para este item. Preço médio: $14.4.,Preço médio do PubLog é 292.78% mais barato.
NAS517-3-3,80205,"SCREW,MACHINE",EA,"56,7",Há 6 preços para este item. Preço médio: $9.95.,Preço médio do PubLog é 469.85% mais barato.
NAS517-3-6,80205,PARAFUSO,EA,"7,64",Há 5 preços para este item. Preço médio: $6.77.,Preço médio do PubLog é 12.85% mais barato.
NAS6203-18D,80205,"BOLT,SHEAR",EA,"6,02",Há 5 preços para este item. Preço médio: $0.83.,Preço médio do PubLog é 625.3% mais barato.
NAS6204-23,80205,BOLT,EA,"4,94",Há 6 preços para este item. Preço médio: $4.84.,Preço médio do PubLog é 2.07% mais barato.
14466,F0189,"BUSHING,MACHINE THREAD",EA,886,Part Number/CFF não encontrado.,Não há preço
12271,F0189,"PLATE,MENDING",EA,"702,8",Part Number/CFF não encontrado.,Não há preço
MS24694S60,80205,SCREW,EA,"79,5",Há 6 preços para este item. Preço médio: $15.2.,Preço médio do PubLog é 423.03% mais barato.
9708,F0189,"NUT, U/O PN 10035-002B",EA,"1708,57",Part Number/CFF não encontrado.,Não há preço
MS21042-4,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"29,45",Há 6 preços para este item. Preço médio: $39.67.,Preço médio do PubLog é 34.7% mais caro.
628-6561-007,13499,MOUNTING KIT,EA,"535,47",Part Number/CFF não encontrado.,Não há preço
NAS9301BNS-4-05,80205,"RIVET,CEGO",EA,"1,62",Há 6 preços para este item. Preço médio: $0.3.,Preço médio do PubLog é 440.0% mais barato.
14863,3990,"DIAPHRAGM,ACTUATOR VALVE,SPECIAL SHAPED",EA,"4628,77",Part Number/CFF não encontrado.,Não há preço
MS24665-138,80205,"PIN,COTTER",EA,"3,79",Há 6 preços para este item. Preço médio: $3.8.,Preço médio do PubLog é 0.26% mais caro.
AN4-12A,80205,PARAFUSO SEXTAVADO,EA,"2,73",Há 6 preços para este item. Preço médio: $0.33.,Preço médio do PubLog é 727.27% mais barato.
NAS464P,80205,"BOLT, SHEAR",EA,"29,52",Part Number/CFF não encontrado.,Não há preço
NAS1104-7D,80205,"BOLT, SHEAR",EA,"4,55",Há 4 preços para este item. Preço médio: $0.63.,Preço médio do PubLog é 622.22% mais barato.
NAS1104-8D,80205,"BOLT,SHEAR",EA,"15,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20002C10,80205,"WASHER,RECESSED",EA,"7,51",Há 6 preços para este item. Preço médio: $47.25.,Preço médio do PubLog é 529.16% mais caro.
MS21061L3,80205,"NUT,SELF-LOCKING,PLATE",EA,"5,08",Há 6 preços para este item. Preço médio: $0.38.,Preço médio do PubLog é 1236.84% mais barato.
MS14145L4,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"11,96",Há 5 preços para este item. Preço médio: $2.63.,Preço médio do PubLog é 354.75% mais barato.
MS14145L6,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"22,84",Há 5 preços para este item. Preço médio: $4.91.,Preço médio do PubLog é 365.17% mais barato.
8662,F0189,FREIN,EA,"645,09",Part Number/CFF não encontrado.,Não há preço
14535,F0189,DEMI-CONTRE FICHE,EA,"15327,25",Part Number/CFF não encontrado.,Não há preço
14518A,F0189,"PISTON,LINEAR ACTUATING CYLINDER",EA,"11864,65",Part Number/CFF não encontrado.,Não há preço
14516,F0189,"HEAD,LINEAR ACTUATING CYLINDER",EA,"3793,11",Part Number/CFF não encontrado.,Não há preço
14456,F0189,SCREW,EA,"483,27",Part Number/CFF não encontrado.,Não há preço
15025,F0189,"PIN,HEADED,THREADED",EA,"2574,99",Part Number/CFF não encontrado.,Não há preço
17794-000-01,F0189,"KEY,MACHINE, U/O 18480-000-01, WHEEL,MAIN LANDING GEAR",EA,"708,37",Part Number/CFF não encontrado.,Não há preço
14383,F0189,"WASHER,KEY",EA,"400,83",Part Number/CFF não encontrado.,Não há preço
14713A,F0189,"NUT,PLAIN,ROUND",EA,"7655,91",Part Number/CFF não encontrado.,Não há preço
15167,F0189,"NUT,PLAIN,ROUND",EA,"1812,28",Part Number/CFF não encontrado.,Não há preço
M39029/78-432,74868,"CONTACT,ELECTRICAL",EA,"54,03",Part Number/CFF não encontrado.,Não há preço
13193,F0189,"PACKING,PREFORMED",EA,"265,62",Part Number/CFF não encontrado.,Não há preço
38970,98897,COVER ASSY,EA,"13226,72",Part Number/CFF não encontrado.,Não há preço
11675,F0189,"PLATE,BACKING,BRAKE ASSY",EA,"11186,43",Part Number/CFF não encontrado.,Não há preço
11978,F0189,BUSHING,EA,"173,73",Part Number/CFF não encontrado.,Não há preço
11979,F0189,AXE,EA,"1242,58",Part Number/CFF não encontrado.,Não há preço
2635164,99193,PLUG,EA,"274,95",Part Number/CFF não encontrado.,Não há preço
NAS464P4A52,80205,BOLT SHEAR,EA,"197,42",Part Number/CFF não encontrado.,Não há preço
NAS6208-13D,80205,"BOLT,SHEAR, .5000-20 THREAD, .812 GRIP DRILLED THREAD, NONLOCKING, CADMIUM PLATED",EA,"54,51",Part Number/CFF não encontrado.,Não há preço
9706,F0189,CYLINDER TUBE,EA,"16033,31",Part Number/CFF não encontrado.,Não há preço
14342,F0189,SUPPORT,EA,"3377,22",Part Number/CFF não encontrado.,Não há preço
14348,F0189,PRISONER,EA,"267,35",Part Number/CFF não encontrado.,Não há preço
333-1270-000,13499,NUT,EA,"1,9",Part Number/CFF não encontrado.,Não há preço
200-2333-050,13499,ANEL-O,EA,"1153,61",Part Number/CFF não encontrado.,Não há preço
553-5211-002,13499,SPRING,EA,"4150,59",Part Number/CFF não encontrado.,Não há preço
NAS659-3L5,80205,"BEARING,BALL,ROD END",EA,"82,57",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
NAS6205-24H,80205,"BOLT,SHEAR",EA,"28,61",Há 5 preços para este item. Preço médio: $3.98.,Preço médio do PubLog é 618.84% mais barato.
NAS6206-12,80205,"BOLT,SHEAR",EA,"7,21",Há 4 preços para este item. Preço médio: $1.53.,Preço médio do PubLog é 371.24% mais barato.
NAS6608D30,80205,"BOLT,SHEAR",EA,"67,52",Apenas um preço foi encontrado para este item. Preço médio: $7.31.,Preço médio do PubLog é 823.67% mais barato.
KC-120,78462,COIL SOLENOID,EA,1443,Há 4 preços para este item. Preço médio: $6.29.,Preço médio do PubLog é 22841.18% mais barato.
0894-011,0FTT5,CANNED AIR,EA,"58,66",Há 5 preços para este item. Preço médio: $9.94.,Preço médio do PubLog é 490.14% mais barato.
106049-1,3YHW1,C OUTLET ASSEMBLY W / LID - 115 VAC OUTLET -10,EA,"3486,44",Part Number/CFF não encontrado.,Não há preço
44B359394-002,89954,"RELAY,ELECTROMAGNETIC",EA,"16898,78",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
601-4301,81579,"SWITCH,PUSH, VOLTAGE RATING IN VOLTS 28.0 DC",EA,"2888,03",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
PWC30046-52,75245,"PULLER,SEAL CARRIER",EA,"2133,98",Há 3 preços para este item. Preço médio: $388.5.,Preço médio do PubLog é 449.29% mais barato.
TIP122,1295,TRANSISTOR,EA,"252,36",Part Number/CFF não encontrado.,Não há preço
APTE-6E-1000-5000A,34345,"TRANSDUCER,PRESSURE,FLUID-HYDRAULIC",EA,"31894,48",Part Number/CFF não encontrado.,Não há preço
PWC30304-08,75245,RIVET SET,EA,"390,49",Part Number/CFF não encontrado.,Não há preço
385-4322,81579,"SWITCH,SLIDE",EA,"4667,39",Part Number/CFF não encontrado.,Não há preço
385-4321,81579,"DUMMY PLUG,TELEPHONE",EA,"2305,82",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
3537,90166,COUPLING,EA,"9316,84",Há 3 preços para este item. Preço médio: $9493.3.,Preço médio do PubLog é 1.89% mais caro.
379S26,6848,ANEL-O,EA,"121,3",Part Number/CFF não encontrado.,Não há preço
379S13,6848,ANEL-O,EA,17,Part Number/CFF não encontrado.,Não há preço
303-4,624,"HOSE,NONMETALLIC, ROUND, BLACK, SIZE 4, DIAMETER: INSIDE 0.188 (3/8"") IN, OUTSIDE 0.516 IN, MILH8794",EA,"34,68",Part Number/CFF não encontrado.,Não há preço
666-4,624,"HOSE, NONMETALLIC",EA,"30,13",Part Number/CFF não encontrado.,Não há preço
666-6,624,"HOSE,NONMETALLIC, SIZE 6, DIAMETER: INSIDE (5/16"") 0.313 IN, OUTSIDE 0.466 IN, ROUND",EA,"53,43",Part Number/CFF não encontrado.,Não há preço
AE102-12,D2497,"INSULATION SLEEVING,THERMAL",EA,"81,73",Há 4 preços para este item. Preço médio: $9.44.,Preço médio do PubLog é 765.78% mais barato.
AE102-18,624,"INSULATION SLEEVING,THERMAL",EA,"74,31",Part Number/CFF não encontrado.,Não há preço
2526226,6848,"PLATE,IDENTIFICATION",EA,"39,33",Part Number/CFF não encontrado.,Não há preço
2525107-65,6848,"JET,METERING FUEL",EA,"488,05",Part Number/CFF não encontrado.,Não há preço
16390,55635,"INSULATOR,FEEDTHRU",EA,"1757,34",Apenas um preço foi encontrado para este item. Preço médio: $156.29.,Preço médio do PubLog é 1024.41% mais barato.
AE775S8-4S,59976,"CONNECTOR,PLUG,ELECTRICAL",EA,"471,38",Part Number/CFF não encontrado.,Não há preço
2520501,40920,"BEARING,BALL,ANNULAR",EA,"79,08",Há 4 preços para este item. Preço médio: $30.36.,Preço médio do PubLog é 160.47% mais barato.
2521021,6848,"SHAFT,ECCENTRIC",EA,"2245,88",Part Number/CFF não encontrado.,Não há preço
2521666,6848,ADJUSTING SCREW,EA,"70,83",Part Number/CFF não encontrado.,Não há preço
2521724-1,6848,"SPRING,HELICAL,EXTENSION",EA,"2408,55",Part Number/CFF não encontrado.,Não há preço
2521724-2,6848,SPRING,EA,"317,44",Part Number/CFF não encontrado.,Não há preço
2521724-3,6848,"SPRING,HELICAL,COMPRESSION",EA,"350,37",Part Number/CFF não encontrado.,Não há preço
2521745,6848,"PIN,GROOVED,HEADED",EA,"127,06",Part Number/CFF não encontrado.,Não há preço
2523190,6848,"PIN,GROOVED,HEADLESS",EA,"109,68",Part Number/CFF não encontrado.,Não há preço
2523240,6848,"BEARING,BALL,ANNULAR",EA,"95,7",Part Number/CFF não encontrado.,Não há preço
2523974,6848,"CAP,BEARING,FUEL CO",EA,"3353,86",Part Number/CFF não encontrado.,Não há preço
2523975,6848,"BUSHING ASSEMBLY,DR",EA,"235,32",Part Number/CFF não encontrado.,Não há preço
2525104,6848,GASKET,EA,"13,35",Part Number/CFF não encontrado.,Não há preço
3244112,6848,"BELLOWS, ASSY, DAMPED",EA,"16938,11",Part Number/CFF não encontrado.,Não há preço
2529625,6848,"ADAPTER,FUEL CONTRO",EA,1106,Part Number/CFF não encontrado.,Não há preço
440-4,624,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"233,75",Part Number/CFF não encontrado.,Não há preço
14-01357-00,0AHP5,"SWITCH,SENSITIVE",EA,"389,54",Há 2 preços para este item. Preço médio: $53.27.,Preço médio do PubLog é 631.26% mais barato.
202A121-3-00-0,6090,"INSULATION SLEEVING,ELECTRICAL,SPECIAL PURPOSE",EA,"58,89",Part Number/CFF não encontrado.,Não há preço
206637,66503,GASKET,EA,"25,88",Apenas um preço foi encontrado para este item. Preço médio: $0.26.,Preço médio do PubLog é 9853.85% mais barato.
213181,66503,"PLUG,MACHINE THREAD,MAGNETIC",EA,"4264,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
214318,66503,"PIN,STRAIGHT,HEADLESS",EA,"667,85",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
23032-1143,28548,"WASHER,SHOULDERED AND RECESSED",EA,"13,27",Há 3 preços para este item. Preço médio: $1.86.,Preço médio do PubLog é 613.44% mais barato.
F66018-4,624,FITTING HOSE,EA,"379,12",Part Number/CFF não encontrado.,Não há preço
56915,93835,"SHAFT,SHOULDERED",EA,"4480,47",Há 2 preços para este item. Preço médio: $2673.79.,Preço médio do PubLog é 67.57% mais barato.
358-354AC14,60038,"BEARING,ROLLER,TAPERED",EA,"379,04",Part Number/CFF não encontrado.,Não há preço
4005095-0501,27914,WAVEGUIDE ASSEMBLY,EA,"22110,56",Há 3 preços para este item. Preço médio: $2145.09.,Preço médio do PubLog é 930.75% mais barato.
5458-007,45934,"CONNECTOR,RECEPTACLE,ELECTRICAL",EA,"201,36",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN960-1616,21439,WASHER/BAR,EA,"1,21",Part Number/CFF não encontrado.,Não há preço
LM29711,60038,"CUP,TAPERED ROLLER",EA,"132,82",Há 2 preços para este item. Preço médio: $22.65.,Preço médio do PubLog é 486.4% mais barato.
AE102-10,624,"INSULATION SLEEVING,THERMAL, DIAMETER INSIDE 0.620 IN, THICK 0.125 IN, GLASS FIBER",EA,"30,74",Part Number/CFF não encontrado.,Não há preço
AEI102-10,624,"INSULATION SLEEVING,THERMAL, DIAMETER INSIDE 0.620 IN, THICK 0.125 IN, GLASS FIBER",EA,"47,77",Part Number/CFF não encontrado.,Não há preço
GH5,72794,"EYELET,TURNLOCK FASTENER",EA,"70,28",Há 6 preços para este item. Preço médio: $14.02.,Preço médio do PubLog é 401.28% mais barato.
DPP3,38443,"BEARING,BALL,AIRFRAME, LUBRICATION MATERIAL MIL-G-81322 MIL SPEC",EA,"856,07",Há 4 preços para este item. Preço médio: $108.11.,Preço médio do PubLog é 691.85% mais barato.
343451,6848,"DIAPHRAGM,ACTUATORVALVE,SPECIAL SHAPED",EA,"2398,2",Part Number/CFF não encontrado.,Não há preço
32447,779,"TERMINAL,QUICK DISCONNECT, COLOR BLUE, INTERLOCKING KNIFE, 14 AWG,LENGTH 0.878 IN, THICK 0.030 IN",EA,"7,58",Part Number/CFF não encontrado.,Não há preço
32448,779,"TERMINAL,QUICK DISCONNECT, COLOR BLUE, INTERLOCKING KNIFE, 14 AWG,LENGTH 0.859 IN, THICK 0.032 IN",EA,"2,2",Part Number/CFF não encontrado.,Não há preço
3320-019,66503,PIN,EA,"111,03",Part Number/CFF não encontrado.,Não há preço
336132,6848,"PIN,TAPERED,PLAIN",EA,"352,22",Part Number/CFF não encontrado.,Não há preço
3243621,6848,"BEARING, BALL, ANNULAR",EA,"2462,42",Part Number/CFF não encontrado.,Não há preço
2521724-4,6848,"SPRING, HELICAL, COMPRESSION",EA,"1661,06",Part Number/CFF não encontrado.,Não há preço
AE701-4,624,"HOSE,NONMETALLIC",EA,"28,27",Part Number/CFF não encontrado.,Não há preço
457-370-12,99321,"CAP,FILLER OPENING",EA,"2087,92",Há 5 preços para este item. Preço médio: $548.67.,Preço médio do PubLog é 280.54% mais barato.
178054-11,81996,BRAKET LOWER,EA,"9362,79",Há 3 preços para este item. Preço médio: $1428.86.,Preço médio do PubLog é 555.26% mais barato.
2522105,6848,"SPACER,SLEEVE",EA,"217,16",Part Number/CFF não encontrado.,Não há preço
NOVEC CONTACT CLEANER,76381,"CLEANING COMPOUND,SOLVENT,",EA,"729,57",Há 5 preços para este item. Preço médio: $187.48.,Preço médio do PubLog é 289.15% mais barato.
